Team_ID,Team_Name,Captain,Coach,Home_Ground,City,Owner
T01,Mumbai Indians (MI),Rohit Sharma,Mark Boucher,Wankhede Stadium,Mumbai,Reliance Industries
T02,Chennai Super Kings (CSK),Ruturaj Gaikwad,Stephen Fleming,M. A. Chidambaram Stadium,Chennai,India Cements
T03,Royal Challengers Bengaluru (RCB),Faf du Plessis,Andy Flower,M. Chinnaswamy Stadium,Bengaluru,United Spirits
T04,Kolkata Knight Riders (KKR),Shreyas Iyer,Chandrakant Pandit,Eden Gardens,Kolkata,Shah Rukh Khan
T05,Delhi Capitals (DC),Rishabh Pant,Ricky Ponting,Arun Jaitley Stadium,Delhi,JSW Group
T06,Rajasthan Royals (RR),Sanju Samson,Kumar Sangakkara,Sawai Mansingh Stadium,Jaipur,Manoj Badale
T07,Punjab Kings (PBKS),Shikhar Dhawan,Trevor Bayliss,Maharaja Yadavindra Singh Int. Cricket Stadium,Mohali,Preity Zinta
T08,Sunrisers Hyderabad (SRH),Pat Cummins,Daniel Vettori,Rajiv Gandhi Int. Stadium,Hyderabad,Sun TV Network
